VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2020-12-01 05:27:58,2020-12-01 05:31:30,0,.80,1,N,68,246,3,5,3,0.5,0,0,0.3,8.8,2.5
2,2020-12-01 05:10:06,2020-12-01 05:13:49,1,.90,1,N,100,161,1,5,0.5,0.5,2,0,0.3,10.8,2.5
2,2020-12-01 05:52:14,2020-12-01 05:55:08,2,.50,1,N,236,236,2,4,0.5,0.5,0,0,0.3,7.8,2.5
2,2020-12-01 05:24:46,2020-12-01 05:24:59,1,.17,5,N,186,264,2,73,0,0,0,0,0.3,75.8,2.5
2,2020-12-01 05:27:03,2020-12-01 05:29:27,1,.00,5,N,186,186,2,73,0,0,0,0,0.3,75.8,2.5
2,2020-12-01 05:14:37,2020-12-01 05:22:46,1,2.28,1,N,107,140,2,9,0.5,0.5,0,0,0.3,12.8,2.5
2,2020-12-01 05:51:10,2020-12-01 05:53:45,1,1.01,1,N,75,74,2,5,0.5,0.5,0,0,0.3,6.3,0
2,2020-12-01 05:54:20,2020-12-01 06:20:51,1,17.56,2,N,132,75,1,52,0,0.5,11.78,6.12,0.3,70.7,0
2,2020-12-01 05:00:45,2020-12-01 05:07:53,2,2.42,1,N,48,140,1,9,0.5,0.5,3.84,0,0.3,16.64,2.5
2,2020-12-01 05:02:41,2020-12-01 05:10:12,1,1.79,1,N,238,41,2,8,0.5,0.5,0,0,0.3,11.8,2.5
2,2020-12-01 05:56:54,2020-12-01 06:04:19,1,2.48,1,N,107,140,1,9,0.5,0.5,2.56,0,0.3,15.36,2.5
1,2020-12-01 05:14:39,2020-12-01 05:26:27,1,2.50,1,N,237,164,1,11,2.5,0.5,2.85,0,0.3,17.15,2.5
2,2020-12-01 05:51:45,2020-12-01 05:56:52,1,1.49,1,N,75,74,2,7,0.5,0.5,0,0,0.3,8.3,0
2,2020-12-01 05:11:48,2020-12-01 05:19:23,1,2.01,1,N,142,162,1,8.5,0.5,0.5,1,0,0.3,13.3,2.5
2,2020-12-01 05:34:13,2020-12-02 00:00:00,1,9.47,1,N,79,223,1,29,0.5,0.5,1.64,0,0.3,34.44,2.5
1,2020-12-01 05:47:16,2020-12-01 05:58:24,1,1.80,1,N,48,137,1,9.5,3,0.5,1.5,0,0.3,14.8,2.5
2,2020-12-01 05:10:43,2020-12-01 05:13:13,1,.52,1,N,69,47,2,4,0.5,0.5,0,0,0.3,5.3,0
1,2020-12-01 05:47:41,2020-12-01 06:01:02,1,5.40,1,N,42,78,2,18.5,0.5,0.5,0,0,0.3,19.8,0
1,2020-12-01 05:37:49,2020-12-01 05:46:23,1,1.90,1,N,140,161,1,8.5,3,0.5,2.45,0,0.3,14.75,2.5
1,2020-12-01 05:49:50,2020-12-01 05:55:52,1,.90,1,N,230,246,1,6,3,0.5,1,0,0.3,10.8,2.5
1,2020-12-01 05:14:18,2020-12-01 05:28:51,2,3.70,1,N,137,239,1,14,3,0.5,3.55,0,0.3,21.35,2.5
1,2020-12-01 05:43:49,2020-12-01 05:47:47,1,.80,1,N,226,7,1,5,0.5,0.5,1.85,0,0.3,8.15,0
1,2020-12-01 05:59:42,2020-12-01 06:06:01,1,1.90,1,N,141,75,1,8,2.5,0.5,3.35,0,0.3,14.65,2.5
2,2020-12-01 05:40:22,2020-12-01 05:51:52,1,3.30,5,N,143,75,1,12.76,0,0.5,1.69,0,0.3,17.75,2.5
2,2020-12-01 05:59:24,2020-12-01 06:05:13,1,1.38,1,N,238,75,1,6.5,0.5,0.5,2.58,0,0.3,12.88,2.5
2,2020-12-01 05:01:30,2020-12-01 05:01:34,1,.02,1,N,162,264,2,2.5,0.5,0.5,0,0,0.3,3.8,0
2,2020-12-01 05:39:02,2020-12-01 05:48:08,1,1.14,1,N,48,162,1,8,0.5,0.5,0,0,0.3,11.8,2.5
2,2020-12-01 05:50:57,2020-12-01 06:08:11,1,11.47,1,N,162,138,1,32,0.5,0.5,0.08,6.12,0.3,42,2.5
2,2020-12-01 05:31:09,2020-12-01 06:07:52,1,17.48,1,N,135,264,1,51,0.5,0.5,2.75,6.12,0.3,61.17,0
2,2020-12-01 05:59:43,2020-12-01 06:04:32,1,1.32,1,N,186,246,1,6,0,0.5,1.86,0,0.3,11.16,2.5
2,2020-12-01 05:26:46,2020-12-01 05:54:36,1,18.97,2,N,132,236,2,52,0,0.5,0,6.12,0.3,58.92,0
1,2020-12-01 05:42:43,2020-12-01 05:46:31,1,1.30,1,N,263,140,2,6,3,0.5,0,0,0.3,9.8,2.5
1,2020-12-01 05:58:27,2020-12-01 06:04:36,1,1.00,1,N,100,161,1,6.5,2.5,0.5,1.18,0,0.3,10.98,2.5
2,2020-12-01 05:24:07,2020-12-01 05:29:43,1,1.76,1,N,239,43,1,7.5,0.5,0.5,1.92,0,0.3,13.22,2.5
2,2020-12-01 05:33:10,2020-12-01 05:36:57,1,1.03,1,N,238,75,1,5.5,0.5,0.5,2.04,0,0.3,8.84,0
2,2020-12-01 05:38:15,2020-12-01 05:54:43,1,2.65,1,N,48,237,1,11.5,0.5,0.5,0,0,0.3,15.3,2.5
2,2020-12-01 05:34:01,2020-12-01 05:41:22,1,1.19,1,N,74,41,2,7,0.5,0.5,0,0,0.3,8.3,0
1,2020-12-01 05:29:19,2020-12-01 05:55:36,2,16.70,2,N,132,170,1,52,2.5,0.5,12.25,6.12,0.3,73.67,2.5
1,2020-12-01 05:19:00,2020-12-01 05:28:59,2,2.70,1,N,186,231,1,10.5,3,0.5,3.55,0,0.3,17.85,2.5
2,2020-12-01 05:53:14,2020-12-01 06:20:21,2,19.73,2,N,209,132,1,52,0,0.5,0,0,0.3,55.3,2.5
2,2020-12-01 05:33:12,2020-12-01 05:38:49,1,1.77,1,N,238,236,1,7,0.5,0.5,2.16,0,0.3,12.96,2.5
2,2020-12-01 05:54:36,2020-12-01 05:56:41,2,.67,1,N,48,48,1,4,0.5,0.5,1,0,0.3,8.8,2.5
2,2020-12-01 05:36:22,2020-12-01 05:39:37,6,.70,1,N,166,151,2,4.5,0.5,0.5,0,0,0.3,5.8,0
1,2020-12-01 05:35:33,2020-12-01 05:53:59,1,9.50,1,N,132,131,2,28,0.5,0.5,0,0,0.3,29.3,0
2,2020-12-01 05:55:42,2020-12-01 06:00:58,1,1.67,1,N,186,161,1,7,0.5,0.5,2.7,0,0.3,13.5,2.5
2,2020-12-01 05:37:22,2020-12-01 05:48:34,1,5.07,5,N,75,107,1,13.73,0,0.5,1.8,0,0.3,18.83,2.5
1,2020-12-01 05:48:42,2020-12-01 06:04:24,1,5.40,1,N,186,42,2,17,2.5,0.5,0,0,0.3,20.3,2.5
